ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
7363695,Affordable Cozy Room near McCormick,766192,https://www.airbnb.com/s/Chicago--IL?page=2,45,,Mil,Not Found,41.85885552194512,-87.62301456602759,No,Strict,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,$100,Not Found,Not Found,$420,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,Real Bed,1,2:00 PM,12:00 PM (noon),1,Townhouse,"
  Private room
"
736366,Downtown Clean&Cozy Spacious Condo ,3010218,https://www.airbnb.com/s/Chicago--IL?page=2,55,,Christina,Not Found,41.87290894990662,-87.65199783478222,No,Strict,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,$95,$10 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,"
  Private room
     · "
7227058,Apartment in Downtown Chicago IL,37809744,https://www.airbnb.com/s/Chicago--IL?page=2,150,,Fariz,Not Found,41.88525068481792,-87.61620018123611,No,Flexible,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$900,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Real Bed,0,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
187414,REAL BED w/FREE WIFI & More,691000,https://www.airbnb.com/s/Chicago--IL?page=2,15,,Nonya,Not Found,41.77776732267698,-87.65343305516137,No,Strict,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,2,Real Bed,1,12:00 PM (noon),11:00 AM,1,House,"
  Shared room
     · "
1798630,Private Comfy Condo!,9432679,https://www.airbnb.com/s/Chicago--IL?page=2,125,,Nnene,Not Found,41.85078795413176,-87.62554744392634,No,Strict,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$700,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · "
6155494,City Living right on Michigan Ave,31932501,https://www.airbnb.com/s/Chicago--IL?page=2,185,,Anna And Jesse,Not Found,41.87053408888656,-87.62335663622288,No,Moderate,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$35,$200,No Charge,Not Found,$1100,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
7452480,Great Apt near Millennium Park,37813261,https://www.airbnb.com/s/Chicago--IL?page=2,150,,Vinnie,Not Found,41.886297052201954,-87.62619782437439,No,Flexible,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
1148365,Pilsen Art House-Backpacker special,558687,https://www.airbnb.com/s/Chicago--IL?page=2,30,,Lorie,Not Found,41.85505004482527,-87.66979462816838,No,Strict,18,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$5,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,"
  Private room
     · "
7094014,One bedroom/one bath,37088152,https://www.airbnb.com/s/Chicago--IL?page=2,50,,Jack,Not Found,41.99629617229409,-87.6564524276618,No,Flexible,20,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,$300,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
     · 2 reviews
"
776597,cozy room near downtown/transit,860825,https://www.airbnb.com/s/Chicago--IL?page=2,75,,Andrea,Not Found,41.85627162720386,-87.67563984800813,No,Strict,22,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$10,Not Found,$10 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,"
  Private room
     · "
3353531,"Spacious 1BD, 2 Full Bathrooms",16921637,https://www.airbnb.com/s/Chicago--IL?page=2,150,,Joanna,Not Found,41.87002931473635,-87.62665492289692,No,Flexible,24,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,2,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · "
7073537,Bedroom in light/spacious apartment,10194474,https://www.airbnb.com/s/Chicago--IL?page=2,45,,Daniela,Not Found,41.915802699845,-87.71964607031589,No,Flexible,26,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,$20 / night after the first guest,Not Found,$225,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,1,Not Found,Not Found,2,Apartment,"
  Private room
     · 2 reviews
"
7439302,Great Studio in the Loop!,38971888,https://www.airbnb.com/s/Chicago--IL?page=2,139,,Nate,Not Found,41.8836561980471,-87.63329539271024,No,Strict,28,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$15,$300,$25 / night after the first guest,Not Found,$800,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,0,3:00 PM,12:00 AM (midnight),1,Apartment,"
  Entire home/apt
"
736359,Downtown Comfy and Modern Condo!!!,3010218,https://www.airbnb.com/s/Chicago--IL?page=2,55,,Christina,Not Found,41.872663206268435,-87.65309600574558,No,Strict,30,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,$95,$10 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,"
  Private room
     · "
6671242,Large Open Studio in West Loop,34916506,https://www.airbnb.com/s/Chicago--IL?page=2,145,,Britany,Not Found,41.886388988734964,-87.65151247206313,No,Flexible,32,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,4,1,Not Found,0,Not Found,Not Found,2,Apartment,"
  Entire home/apt
     · "
6935065,2 Bedroom Remodeled Garden Heaven,36357506,https://www.airbnb.com/s/Chicago--IL?page=2,95,,Kiya,Not Found,41.88130256369005,-87.69690242222514,No,Strict,34,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$20,Not Found,No Charge,Not Found,$650,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Not Found,2,Not Found,Not Found,2,Apartment,"
  Entire home/apt
     · 1 review
"
6956482,"Penthouse, Lake view, Soldier field",10948289,https://www.airbnb.com/s/Chicago--IL?page=2,125,,Kathy,Not Found,41.86039014446023,-87.6250533085241,No,Flexible,36,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$600,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Airbed,1,Not Found,Not Found,1,Condominium,"
  Entire home/apt
     · 2 reviews
"
6900770,"Beautiful, spacious, right by lake!",18118969,https://www.airbnb.com/s/Chicago--IL?page=3,120,,Benjamin,Not Found,41.94606722335413,-87.64491516831866,No,Flexible,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$39,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,2,Not Found,Not Found,2,Condominium,"
  Entire home/apt
     · 2 reviews
"
3013585,Private Room and Bath by Beach 2!,12938674,https://www.airbnb.com/s/Chicago--IL?page=3,60,,Cameron And Rebecca,Not Found,41.98030523420295,-87.65624519762396,No,Moderate,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$385,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,3:00 PM,12:00 PM (noon),1,Apartment,"
  Private room
     · "
7440246,Great space in the West Loop!,28834124,https://www.airbnb.com/s/Chicago--IL?page=3,250,,Darrius,Not Found,41.87820321874765,-87.64259227431292,No,Flexible,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
"
6653315,Luxury Huge 1bd Loft Close to Lake,34823911,https://www.airbnb.com/s/Chicago--IL?page=3,145,,Apple,Not Found,41.96690185072045,-87.65584628270268,No,Moderate,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$65,Not Found,$30 / night after 2 guests,Not Found,$950,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Real Bed,1,3:00 PM,12:00 PM (noon),1,Apartment,"
  Entire home/apt
     · 2 reviews
"
7084786,Downtown Room Near Red Line,25465207,https://www.airbnb.com/s/Chicago--IL?page=3,68,,Egan,Not Found,41.89927121719439,-87.62956984216481,No,Moderate,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$6,Not Found,No Charge,Not Found,$400,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1.5,Not Found,1,2:00 PM,11:00 AM,2,Apartment,"
  Private room
"
7087130,Charming remodeled downtown condo!,34503692,https://www.airbnb.com/s/Chicago--IL?page=3,150,,Valerie,Not Found,41.88895011229651,-87.64118143861636,No,Moderate,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$25,$150,Not Found,Not Found,$550,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,2,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
     · 2 reviews
"
4677523,Phantom Gallery Loft Space,24191191,https://www.airbnb.com/s/Chicago--IL?page=3,30,,Alpha,Not Found,41.8088065870484,-87.61363726381386,No,Flexible,21,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$10,$95,Not Found,Not Found,$210,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1,Airbed,1,Not Found,Not Found,1,Loft,"
  Private room
     · "
736377,Downtown Gorgeous Condo w Priv Bath,3010218,https://www.airbnb.com/s/Chicago--IL?page=3,59,,Christina,Not Found,41.87179884833254,-87.65424420301723,No,Strict,24,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,$95,$10 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,"
  Private room
     · "
4630734,Furnished place to stay for Summer,23980113,https://www.airbnb.com/s/Chicago--IL?page=3,22,,Nils,Not Found,41.79537837018859,-87.58512015172137,No,Flexible,27,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$5,Not Found,$10 / night after the first guest,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,7,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
     · "
4918018,Spacious one bedroom unit close to all transportation,23613643,https://www.airbnb.com/s/Chicago--IL?page=3,50,,Meghan,Not Found,41.96015315058982,-87.71179657609031,No,Strict,30,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$50,$300,No Charge,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Entire home/apt
     · "
7360828,Little Village - Single Guest Room,1335936,https://www.airbnb.com/s/Chicago--IL?page=3,35,,Sara,Not Found,41.84079859560945,-87.71498144615705,No,Moderate,33,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$5,$100,$10 / night after the first guest,Not Found,$235,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,House,"
  Private room
"
6870522,Huge BR w/ Access To Rooftop View,28705684,https://www.airbnb.com/s/Chicago--IL?page=3,95,,Taka,Not Found,41.919284265816,-87.6529813464932,No,Flexible,36,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$575,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
     · "
233520,Private Single Balcony *Top Value,1006155,https://www.airbnb.com/s/Chicago--IL?page=3,44,,Mejai Kai,Not Found,41.82855636306916,-87.6193360147339,No,Strict,39,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$20,$100,Not Found,Not Found,$300,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,1,1.5,Real Bed,1,5:00 PM,11:00 AM,1,House,"
  Private room
     · "
5195252,Room with large private balcony,26874445,https://www.airbnb.com/s/Chicago--IL?page=3,89,,Sebastien,Not Found,41.90367980820083,-87.67942871504833,No,Flexible,42,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,$600,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,"
  Private room
"
2479036,Stylish Loft with PoolTable&HOT TUB,6294839,https://www.airbnb.com/s/Chicago--IL?page=3,99,,Liana,Not Found,41.90518524049469,-87.63259563093841,No,Moderate,45,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$30,$100,$20 / night after 2 guests,Not Found,$1200,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,3,1,Real Bed,0,3:00 PM,11:00 AM,1,Apartment,"
  Entire home/apt
     · "
